Aachener	Aachen.	German
aakkos-	aakkos.	Finnish
Aalborg	Aalb.	Danish
Aalener	Aalen.	German
aalmoezeniers	aalmoez.	Dutch
aanbesteding	aanbested.	Dutch
aanbeveling-	aanbevel.	Dutch
aanbiedingslijst	aanbiedingsl.	Dutch
aandachtsgebied	aandachtsgeb.	Dutch
aandeelhouder-	aandeelh.	Dutch
aandel-	aandel.	Dutch
aandoening-	aandoen.	Dutch
aandrijven	aandr.	Dutch
aandsvag-	aandsv.	Norwegian
äänenkannattaja	äänenkannatt.	Finnish
aangelegenh-	aangelegenh.	Dutch
aangenom-	aangen.	Dutch
aanhouden-	aanhoud.	Dutch
äänitluettelo	äänitluett.	Finnish
aankomende	aankom.	Dutch
aanleid-	aanleid.	Dutch
aannemer-	aannem.	Dutch
aanneming-	aannem.	Dutch
aanschafinformatie	aanschafinf.	Dutch
aanslagregeling	aanslagregel.	Dutch
aansluiten-	aansluit.	Dutch
aansprakelijkheid	aansprakelijkh.	Dutch
aanteekening-	aanteek.	Dutch
aantekenlijst	aantekenl.	Dutch
aantekenstrookjesverzamelaar	aantekenstrookjesverzamel.	Dutch
aanverwant-	aanverw.	Dutch
aanvullingsblad	aanvullingsbl.	Dutch
aanwending	aanwend.	Afrikaans
aanwinstenlijst	aanwinstenl.	Dutch
aanwyser	aanwys.	Afrikaans
aarbog	aarb.	Norwegian
aarbok	aarb.	Norwegian
aardappelverwerking-	aardappelverwerk.	Dutch
aardkundig-	aardkd.	Dutch
aardmagnet-	aardmagn.	Dutch
aardrijkskund-	aardrijkskd.	Dutch
aargauisch-	aargau.	German
aarsberaettelse	aarsberaett.	Swedish
aarsberetning	aarsberet.	Norwegian
aarsbok	aarsb.	Swedish
aastaaruanne	aastaaruan.	Estonian
aastaraam-	aastaraam.	Estonian
abandon-	abandon.	French
abastecimento	abast.	Portuguese
abatement	abat.	English
abatido	abat.	Portuguese
abbigliamento	abbigl.	Italian
Abbildung-	Abbild.	German
abbreviation	abbr.	English
abdērit-	abdēr.	Greek, Modern (1453- )
Abdichtung	Abdicht.	German
abdominal	abdom.	English, French
Abdruck	Abdr.	German
abdrucken	abdr.	German
abeced-	abeced.	Croatian
abécédaire	abécéd.	French
Abenberg-	Abenb.	German
Abendland	Abendl.	German
Abensberg	Abensb.	German
Abenteuer	Abent.	German
Abenteuerliche	Abenteuerl.	German
Abeokuta	Abeok.	English
Aberdeen	Aberd.	English
Abfallaufbereitung-	Abfallaufbereit.	German
Abfallbehandlung	Abfallbehandl.	German
Abfallbeseitig-	Abfallbeseit.	German
Abfallrecht	Abfallr.	German
Abfallstoff-	Abfallst.	German
Abfalltechni-	Abfalltech.	German
abfallverwertung	abfallverwert.	German
Abfallwirtschaft-	Abfallwirtsch.	German
Abgabenordnung-	Abgabenordn.	German
Abgasbelastung	Abgasbelast.	German
Abgassonderuntersuch-	Abgassonderunters.	German
abgedruckt	abgedr.	German
abgelauf-	abgelauf.	German
Abgeordnete	Abgeordn.	German
abgeschlossen-	abgeschloss.	German
Abhandlung-	Abh.	German
abhor-	abhor.	Multiple languages
abiding	abid.	English
Abidjan	Abidj.	French
abilit-	abil.	English
Abington	Abingt.	English
abitare	abit.	Italian
abitibien	abitib.	French
abitöötmisala-	abitöötmisala.	Estonian
abiturient-	abitur.	Finnish
Abkommen	Abkomm.	German
Abkürzung	Abkürz.	German
Ablieferung	Ablief.	German
abmotičesk-	abmotič.	Russian
abnégation	abnég.	French
abnormal-	abnorm.	English
aboensis	abo.	Latin
abogacía	abog.	Spanish
abogado	abog.	Spanish
åboländsk	åbol.	Swedish
abolition	abolit.	Multiple languages
abonn-	abonn.	French
abordable	abord.	French
aborig-	aborig.	French, English
abort-	abort.	English
Abprodukt-	Abprod.	German
ábrafüzet	ábrafüz.	Hungarian
abrasive	abras.	English
abrazivnyj	abraz.	Russian
ábrázol-	ábráz.	Hungarian
Abrechnung-	Abrechn.	German
abrég-	abr.	French
Abreisskalender	Abreisskal.	German
abrevia-	abr.	Spanish
